Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
TC-2228,Leon Haywood,I Want' A Do Something Freaky To You / I Know What Love Is,20th Century Records,"7""",,1975,680207,Uncategorized,2014-10-29 22:00:40,,,
AR 004 VL,The Juju Orchestra,Remixes,Agogo Records,"12""",,2006,1233177,Uncategorized,2016-09-09 06:07:36,Mint (M),Mint (M),
ALA 102,Bumps Jackson / This Kid Named Miles,Funky In Jamaica (Part 2) / Ring Of Fire,Alatac,"7""",,2003,584925,Uncategorized,2014-10-09 21:27:28,,,
945,Lee Dorsey,"Get Out Of My Life, Woman",Amy,"7""",,1966,2261564,Uncategorized,2014-11-25 22:09:45,,,
ATH011,GQ,Lies,Athens Of The North,"7""",,2015,7038996,Uncategorized,2015-10-13 21:28:26,,,
45-2971,Manu Dibango,Soul Makossa,Atlantic,"7"", Single",,1973,3965166,Uncategorized,2014-10-29 22:00:40,,,
45-3241,Ben E. King,Supernatural Thing,Atlantic,"7"", Single",,1975,1419949,Uncategorized,2014-10-09 21:26:05,,,
ABC-002,Brian Ellis,Peg,Austin Boogie Crew Records,"7"", Single",,2015,7157945,Uncategorized,2015-10-13 21:28:26,,,
BGPS 016,Jean-Jacques Perrey / Camille Yarbrough,EVA / Take Yo' Praise,BGP Records,"7""",,2003,588502,Uncategorized,2014-10-09 21:27:28,,,
BD 7001,Funky Bompa,Berimbao / Aquarelon,Bompa Discos Belgium,"7"", Ltd",,2012,3695438,Uncategorized,2016-09-09 06:07:36,Near Mint (NM or M-),Generic,
BD1004,Funky Bompa,Joana,Bompa Discos Belgium,"10""",,2014,8702177,Uncategorized,2016-09-09 06:07:36,Near Mint (NM or M-),Generic,
755410,Young Holt Unlimited,Young And Holtful / Just A Melody,Brunswick,"7"", Single, Promo",,1969,1206959,Uncategorized,2014-11-25 22:09:45,,,
MJ 5008,Capt. Crunch & The Funky Bunch,The Gigolo Groove,California Gold,"12""",,1981,434987,Uncategorized,2014-11-25 22:09:45,,,
S7-57882,Arrested Development,Tennessee / People Everyday,"Chrysalis, CEMA Special Markets","7"", Single, Jukebox",,1992,736877,Uncategorized,2014-10-29 22:00:40,,,
44 77728,Big L,Put It On,Columbia,"12"", RE",,1995,2174499,Uncategorized,2016-09-09 06:07:36,Near Mint (NM or M-),Generic,
CSK 41158,Kid Capri Featuring Snoop Dogg And Slick Rick,Unify / We're Unified,Columbia,"CD, Single, Promo",,1998,4299652,Uncategorized,2017-05-27 15:43:34,,,
44 73915,Slick Rick,Mistakes Of A Woman In Love With Other Men,Def Jam Recordings,"12""",,1991,824260,Uncategorized,2014-11-25 22:10:36,,,
"DMD 1914, DMD-1914","The Brand New Heavies, Main Source, The Pharcyde, Kool G Rap",Bonafied Funk / Soul Flower / Death Threat,"Delicious Vinyl, Delicious Vinyl","12"", Promo",,1992,890853,Uncategorized,2014-11-25 22:10:36,,,
DS7008,B.B.K.'s Expedition,Long Train Runnin' / For The Love Of Money,Dynamite Soul (2),"7"", Unofficial, Single",,2007,1023494,Uncategorized,2014-10-09 21:27:28,,,
ELK 52 352,Patrice Rushen,Straight From The Heart,Elektra,"LP, Album, Red",,1982,882405,Uncategorized,2012-03-18 08:13:33,,,
"F 047, 13714700 41",Norma Jean Bell,I'm The Baddest Bitch (The Moodymann Mixes),"F Communications (2), F Communications (2)","12"", Unofficial",,2008,1566213,Uncategorized,2015-10-13 21:28:26,,,
FSR097,Various,One Way - Remixes And Rarities - Sampler,Freestyle Records (2),"12""",,2012,3634648,Uncategorized,2016-09-09 06:07:36,Near Mint (NM or M-),Near Mint (NM or M-),
FRY-022,Chocolate Snow,Inflation / A Day In The Life,Fryers,"7"", Single",,2013,4885846,Uncategorized,2014-10-09 21:26:05,,,
none,Pullup Orchestra,That Song,Hinterhaus Records,"12"", Single",,2010,2498928,Uncategorized,2016-09-09 06:07:36,Near Mint (NM or M-),Near Mint (NM or M-),
EAS 4861,Funkdoobiest,The Funkiest,Immortal Records (3),"12"", Promo, Cle",,1992,919412,Uncategorized,2014-11-25 22:10:37,,,
497 340-1,Black Eyed Peas,BEP Empire / Get Original,Interscope Records,"12""",,2000,884491,Uncategorized,2014-11-25 22:10:36,,,
JM-011,Bad Jazz Troupe,Looking For Jupiter,Jazz&Milk Recordings,"12"", EP",,2010,2576792,Uncategorized,2016-09-09 06:07:36,Near Mint (NM or M-),Near Mint (NM or M-),
JIVE PT 349,Shaquille O'Neal,I'm Outstanding,Jive,"12"", Pic",,1994,802009,Uncategorized,2014-11-25 22:10:36,,,
none,UDM,To Please You ,Kadabra Records (2),"12"", RE, Unofficial",,2013,4542948,Uncategorized,2014-10-09 21:27:28,,,
RDAB-62424-1,Mad Kap,Ph*ck What You Heard,"Loud Records, RCA","12"", Promo",,1992,641808,Uncategorized,2014-11-25 22:10:37,,,
MIHR001,The Weedingmen,St. Thomas / The Boo Boo Song,Made In Hustler's Records,"7""",,2006,802397,Uncategorized,2016-09-09 06:07:36,Near Mint (NM or M-),Generic,
MIHR001,The Weedingmen,St. Thomas / The Boo Boo Song,Made In Hustler's Records,"7""",,2006,802397,Uncategorized,2016-09-09 06:07:45,,,
MCA 12-54428,Heavy D. & The Boyz,Don't Curse / You Can't See What I Can See,MCA Records,"12""",,1992,204892,Uncategorized,2014-11-25 22:10:37,,,
MMRO001,Terry Callier / Gary Bartz,Ordinary Joe / Music Is My Sanctuary,Mellow Mellow Right On,"7"", Whi",,2013,4532043,Uncategorized,2014-10-09 21:26:05,,,
45-1028,"Afrika Bambaataa, Charlie Funk, The Mighty Mocambos",Zulu Walk,Mocambo,"7""",,2011,3005130,Uncategorized,2016-09-09 06:07:36,Near Mint (NM or M-),Generic,
BRZ45.05,Miguel de Deus / Boogaloo Combo,Black Soul Brothers / Hot Pants Roads,Mr Bongo,"7"", Single",,2014,5577972,Uncategorized,2014-10-09 21:26:05,,,
none,Fela Kuti Vs De La Soul,Fela Soul,Not On Label,"LP, Album, Unofficial",,2012,3275509,Uncategorized,2014-10-29 22:00:40,,,
N-10,Miz Davis,Sing A Happy Funky Song,Now Records,"7"", Single, Promo",,1975,2099823,Uncategorized,2014-11-25 22:09:45,,,
OW001,Zajazza,Mafia Cubana / El Viaje,Original Watts,"7""",,2014,6014919,Uncategorized,2016-09-09 06:07:36,Near Mint (NM or M-),Generic,
DMV-1000,Various,District Maryland Virginia: Compilation Of The Rarest Synth Funk Go Go Boogie 1983-1985,Peoples Potential Unlimited,"12"", Comp",,2009,1704802,Uncategorized,2015-10-13 21:28:26,,,
RAMSH 12-3047,Kasso,Kasso,Rams Horn Records,"12""",,1982,104545,Uncategorized,2014-11-25 22:09:45,,,
Resense 009,Paul Murphy / Palov & Mishkin,Calypso Redub / Et De Clarinete,RESENSE,"7"", Single, Promo",,2009,1875992,Uncategorized,2016-09-09 06:07:36,Near Mint (NM or M-),Generic,
resense 042,Mako (28) & Mr. Bristow,Stank Soul Edits Vol. 2 ,RESENSE,"7"", Single, Promo",,2015,7637542,Uncategorized,2016-09-09 06:07:36,Near Mint (NM or M-),Generic,
SSR002,Three Good Rules,3 MCs & 1 Samba,Sand Step Japan,"7"", Promo",,2008,1359264,Uncategorized,2016-09-09 06:07:36,Near Mint (NM or M-),Generic,
GA-1001,Relly Coloma / Goldrush (8),"The Good, The Bad And The Ugly / For A Few Dollars More",Soul Galore,"7"", RE, Single",,0,1984303,Uncategorized,2014-10-09 21:27:28,,,
SST 01,Sound Stream,Good Soul,Sound Stream,"12""",,1999,37029,Uncategorized,2015-10-13 21:28:26,,,
SST 02,Sound Stream,Freakin',Sound Stream,"12""",,2005,463119,Uncategorized,2015-10-13 21:28:26,,,
SST 03,Sound Stream,Love Jam,Sound Stream,"12""",,2006,794940,Uncategorized,2015-10-13 21:28:26,,,
STH2339,Myron And E,Do It Do It Disco,Stones Throw Records,"12""",,2014,5797951,Uncategorized,2014-10-29 22:00:40,,,
SR1-1001,Sonny Jenkins And The New York Potpourri Strings,That Friday Pay (Eagle Flying Day),Stout (2),"12"", Promo, Unofficial, Col",,2014,6401886,Uncategorized,2015-10-13 21:28:26,,,
SS-420,Matrix (13),Stay (I Need Your Love) / Take Me Up,Sugarscoop,"12""",,1982,330941,Uncategorized,2014-11-25 22:09:45,,,
TER008,MINIMATIC,If This Is Love,Tour Eiffel Records,"7""",,2014,6699667,Uncategorized,2016-09-09 06:07:36,Near Mint (NM or M-),Generic,
5046-72554-7,Various,Funk 45's,Warner Strategic Marketing United Kingdom,"10x7"" + Box, Comp",,2004,551485,Uncategorized,2014-10-09 21:27:28,,,
none,Gang Starr / Ini Kamoze longside Wu-Tang Clan,DWYCK (Trust Us! Spezialversion) / Ain't Nothing To Step With (Chatterbox Spezialversion),Wax 'Em Records,"7"", Ltd, Unofficial",,2008,1432178,Uncategorized,2016-09-09 06:07:36,Near Mint (NM or M-),Generic,
WES-22140,Peech Boys,Don't Make Me Wait,"West End Records, Garage Records","12""",,1982,1674215,Uncategorized,2014-11-25 22:09:45,,,
SPRO #04874,Main Source,Fakin' The Funk,Wild Pitch Records,"12"", Promo",,1992,1930893,Uncategorized,2014-11-25 22:09:45,,,
WR 20083,Black Moon,I Got Cha Opin (Da Beatminerz Remix),Wreck Records,"12""",,1994,178283,Uncategorized,2014-11-25 22:10:37,,,
